Ts,Depth,Altitude,WaterTemp,Heading,PilotLat,PilotLon,DroneLat,DroneLon,DroneNorthing,DroneEasting,BatteryLevel,Monotonic,ChlorophyllASensor-Temperature,ChlorophyllASensor-Temperature-unit,ChlorophyllASensor-ChlorophyllAFluorescenceIntensity,ChlorophyllASensor-ChlorophyllAFluorescenceIntensity-unit,CrudeOilSensor-Temperature,CrudeOilSensor-Temperature-unit,CrudeOilSensor-CrudeOilFluorescenceIntensity,CrudeOilSensor-CrudeOilFluorescenceIntensity-unit,ConductivitySensor-Temperature,ConductivitySensor-Temperature-unit,ConductivitySensor-ActualConductivity,ConductivitySensor-ActualConductivity-unit,ConductivitySensor-SpecificConductivity,ConductivitySensor-SpecificConductivity-unit,ConductivitySensor-Salinity,ConductivitySensor-Salinity-unit,ConductivitySensor-Resistivity,ConductivitySensor-Resistivity-unit,ConductivitySensor-DensityOfWater,ConductivitySensor-DensityOfWater-unit,ConductivitySensor-TotalDissolvedSolids,ConductivitySensor-TotalDissolvedSolids-unit,TurbiditySensor-Turbidity,TurbiditySensor-Turbidity-unit,ProbeParameters-Temperature,ProbeParameters-Temperature-unit,ProbeParameters-ExternalVoltage,ProbeParameters-ExternalVoltage-unit
08/07/2025 14:12:42 +00:00,0,0,0,0,0,0,0,0,0,0,0,01/01/1970 00:00:36 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:46 +00:00,0,0,0,0,0,0,0,0,0,0,0,01/01/1970 00:00:40 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:47 +00:00,0,0,24.11734,136.4,0,0,0,0,0,0,0.9724476,01/01/1970 00:00:41 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:48 +00:00,-0.003,0,24.11734,136.2,0,0,0,0,0,0,0.9724476,01/01/1970 00:00:42 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:49 +00:00,-0.006,0,24.11734,135.8,0,0,0,0,0,0,0.9724476,01/01/1970 00:00:43 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:50 +00:00,0.001,0,24.11734,136.3,0,0,0,0,0,0,0.9724476,01/01/1970 00:00:44 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:51 +00:00,-0.007,0,24.11734,136.5,0,0,0,0,0,0,0.9724476,01/01/1970 00:00:45 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:52 +00:00,0,0,24.3199787,135.4,0,0,0,0,0,0,0.971771538,01/01/1970 00:00:46 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:53 +00:00,-0.005,0,24.3199787,132.7,0,0,0,0,0,0,0.971771538,01/01/1970 00:00:47 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:54 +00:00,-0.006,0,24.3199787,130.9,0,0,0,0,0,0,0.971771538,01/01/1970 00:00:49 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:55 +00:00,-0.006,0,24.3199787,129.4,0,0,0,0,0,0,0.971771538,01/01/1970 00:00:50 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:56 +00:00,-0.005,0,24.3199787,128.7,0,0,0,0,0,0,0.971771538,01/01/1970 00:00:51 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:57 +00:00,-0.01,0,24.3950634,128.5,0,0,0,0,0,0,0.971771538,01/01/1970 00:00:52 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/07/2025 14:12:58 +00:00,-0.01,0,24.3950634,128.6,0,0,0,0,0,0,0.971771538,01/01/1970 00:00:53 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
