Ts,Depth,WaterTemp,Heading,PilotLat,PilotLon,DroneLat,DroneLon,DroneNorthing,DroneEasting,BatteryLevel,Monotonic,ChlorophyllASensor-Temperature,ChlorophyllASensor-Temperature-unit,ChlorophyllASensor-ChlorophyllAFluorescenceIntensity,ChlorophyllASensor-ChlorophyllAFluorescenceIntensity-unit,CrudeOilSensor-Temperature,CrudeOilSensor-Temperature-unit,CrudeOilSensor-CrudeOilFluorescenceIntensity,CrudeOilSensor-CrudeOilFluorescenceIntensity-unit,ConductivitySensor-Temperature,ConductivitySensor-Temperature-unit,ConductivitySensor-ActualConductivity,ConductivitySensor-ActualConductivity-unit,ConductivitySensor-SpecificConductivity,ConductivitySensor-SpecificConductivity-unit,ConductivitySensor-Salinity,ConductivitySensor-Salinity-unit,ConductivitySensor-Resistivity,ConductivitySensor-Resistivity-unit,ConductivitySensor-DensityOfWater,ConductivitySensor-DensityOfWater-unit,ConductivitySensor-TotalDissolvedSolids,ConductivitySensor-TotalDissolvedSolids-unit,TurbiditySensor-Turbidity,TurbiditySensor-Turbidity-unit,ProbeParameters-Temperature,ProbeParameters-Temperature-unit,ProbeParameters-ExternalVoltage,ProbeParameters-ExternalVoltage-unit
08/01/2025 14:49:37 +00:00,0,0,0,0,0,0,0,0,0,0,01/01/1970 00:00:36 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:41 +00:00,0,0,0,50.2016383,-66.3852017,0,0,0,0,0,01/01/1970 00:00:39 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:42 +00:00,-0.004,0,272,50.2016383,-66.3852017,0,0,0,0,0,01/01/1970 00:00:40 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:43 +00:00,-0.014,21.040102,271.6,50.2016383,-66.3852017,0,0,0,0,0.9894005,01/01/1970 00:00:41 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:44 +00:00,-0.009,21.040102,270.1,50.2016383,-66.3852017,0,0,0,0,0.9894005,01/01/1970 00:00:42 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:45 +00:00,-0.014,21.040102,270.2,50.2016383,-66.3852017,0,0,0,0,0.9894005,01/01/1970 00:00:43 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:46 +00:00,-0.015,21.040102,269.4,50.2016383,-66.3852017,0,0,0,0,0.9894005,01/01/1970 00:00:44 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:47 +00:00,-0.008,21.040102,270.1,50.2016383,-66.3852017,0,0,0,0,0.9894005,01/01/1970 00:00:45 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:48 +00:00,-0.01,21.02063,270.5,50.2016269,-66.385233,0,0,0,0,0.9887253,01/01/1970 00:00:47 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/01/2025 14:49:49 +00:00,-0.014,21.02063,272,50.2016269,-66.385233,0,0,0,0,0.9887253,01/01/1970 00:00:48 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
