Ts,Depth,Altitude,WaterTemp,Heading,PilotLat,PilotLon,DroneLat,DroneLon,DroneNorthing,DroneEasting,BatteryLevel,Monotonic,PhOrpSensor-Ph,PhOrpSensor-Ph-unit,PhOrpSensor-PhMv,PhOrpSensor-PhMv-unit,PhOrpSensor-Orp,PhOrpSensor-Orp-unit,ConductivitySensor-Temperature,ConductivitySensor-Temperature-unit,ConductivitySensor-ActualConductivity,ConductivitySensor-ActualConductivity-unit,ConductivitySensor-SpecificConductivity,ConductivitySensor-SpecificConductivity-unit,ConductivitySensor-Salinity,ConductivitySensor-Salinity-unit,ConductivitySensor-Resistivity,ConductivitySensor-Resistivity-unit,ConductivitySensor-DensityOfWater,ConductivitySensor-DensityOfWater-unit,ConductivitySensor-TotalDissolvedSolids,ConductivitySensor-TotalDissolvedSolids-unit,ChlorophyllASensor-Temperature,ChlorophyllASensor-Temperature-unit,ChlorophyllASensor-ChlorophyllAFluorescenceIntensity,ChlorophyllASensor-ChlorophyllAFluorescenceIntensity-unit,CrudeOilSensor-Temperature,CrudeOilSensor-Temperature-unit,CrudeOilSensor-CrudeOilFluorescenceIntensity,CrudeOilSensor-CrudeOilFluorescenceIntensity-unit,ProbeParameters-Temperature,ProbeParameters-Temperature-unit,ProbeParameters-ExternalVoltage,ProbeParameters-ExternalVoltage-unit
08/14/2025 14:52:02 +00:00,0,0,0,0,0,0,0,0,0,0,0,01/01/1970 00:00:33 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:06 +00:00,0,0,0,0,0,0,0,0,0,0,0,01/01/1970 00:00:36 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:07 +00:00,-0.001,0,0,142.8,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:37 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:08 +00:00,-0.001,0,21.3933811,142.4,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:38 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:09 +00:00,-0.004,0,21.3933811,141.7,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:40 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:10 +00:00,-0.005,0,21.3933811,139,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:41 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:11 +00:00,-0.008,0,21.3933811,137.8,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:42 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:12 +00:00,-0.005,0,21.57903,138,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:43 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:13 +00:00,-0.01,0,21.57903,137.8,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:44 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:14 +00:00,-0.002,0,21.57903,138,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:45 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:15 +00:00,-0.008,0,21.57903,138.1,0,0,0,0,0,0,0.788060367,01/01/1970 00:00:46 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:16 +00:00,-0.003,0,21.57903,138.1,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:47 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:17 +00:00,-0.009,0,21.6271133,138.1,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:48 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:18 +00:00,-0.003,0,21.6271133,138.7,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:49 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:19 +00:00,-0.002,0,21.6271133,139,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:50 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:20 +00:00,-0.006,0,21.6271133,139,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:51 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:21 +00:00,-0.008,0,21.6271133,138.5,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:52 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:22 +00:00,-0.01,0,21.6814556,138.3,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:53 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:23 +00:00,-0.01,0,21.6814556,138.4,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:54 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:24 +00:00,-0.007,0,21.6814556,138.7,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:55 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:25 +00:00,-0.005,0,21.6814556,139.1,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:56 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:26 +00:00,-0.01,0,21.6814556,139,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:57 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:27 +00:00,-0.011,0,21.7175026,138.5,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:58 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:28 +00:00,-0.004,0,21.7175026,138.2,0,0,0,0,0,0,0.787384868,01/01/1970 00:00:59 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:29 +00:00,-0.008,0,21.7175026,138.4,0,0,0,0,0,0,0.787384868,01/01/1970 00:01:00 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:30 +00:00,-0.013,0,21.7175026,138.9,0,0,0,0,0,0,0.787384868,01/01/1970 00:01:01 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:31 +00:00,-0.013,0,21.7175026,138.6,0,0,0,0,0,0,0.787384868,01/01/1970 00:01:02 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:32 +00:00,-0.009,0,21.768,137.8,0,0,0,0,0,0,0.787384868,01/01/1970 00:01:03 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:33 +00:00,-0.01,0,21.768,137.6,0,0,0,0,0,0,0.787384868,01/01/1970 00:01:04 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:34 +00:00,-0.012,0,21.768,138,0,0,0,0,0,0,0.787384868,01/01/1970 00:01:05 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:35 +00:00,-0.015,0,21.768,138.7,0,0,0,0,0,0,0.787384868,01/01/1970 00:01:06 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:36 +00:00,-0.015,0,21.768,138.9,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:07 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:37 +00:00,-0.014,0,21.81767,138.5,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:08 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:38 +00:00,-0.014,0,21.81767,138.3,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:09 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:40 +00:00,-0.014,0,21.81767,138.4,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:10 +00:00,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
08/14/2025 14:52:41 +00:00,-0.019,0,21.81767,138.7,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:11 +00:00,0,pH,-406.856537,mV,30.43132,mV,19.227211,°C,0.0549450554,μS/cm,0.0617540739,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983625,g/cm³,4.014015E-05,ppt,20.5656738,°C,0.000554438,RFU,21.3398132,°C,0,RFU,19.227211,°C,15.903,V
08/14/2025 14:52:42 +00:00,-0.019,0,21.81767,139,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:12 +00:00,0,pH,-406.856537,mV,30.43132,mV,19.227211,°C,0.0549450554,μS/cm,0.0617540739,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983625,g/cm³,4.014015E-05,ppt,20.5656738,°C,0.000554438,RFU,21.3398132,°C,0,RFU,19.227211,°C,15.903,V
08/14/2025 14:52:43 +00:00,-0.019,0,21.83736,138.7,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:13 +00:00,0,pH,-406.856537,mV,30.43132,mV,19.227211,°C,0.0549450554,μS/cm,0.0617540739,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983625,g/cm³,4.014015E-05,ppt,20.5656738,°C,0.000554438,RFU,21.3398132,°C,0,RFU,19.227211,°C,15.903,V
08/14/2025 14:52:44 +00:00,-0.015,0,21.83736,138.3,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:14 +00:00,0,pH,-406.856537,mV,30.43132,mV,19.227211,°C,0.0549450554,μS/cm,0.0617540739,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983625,g/cm³,4.014015E-05,ppt,20.5656738,°C,0.000554438,RFU,21.3398132,°C,0,RFU,19.227211,°C,15.903,V
08/14/2025 14:52:45 +00:00,-0.018,0,21.83736,138.3,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:15 +00:00,0,pH,-406.856537,mV,30.43132,mV,19.227211,°C,0.0549450554,μS/cm,0.0617540739,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983625,g/cm³,4.014015E-05,ppt,20.5656738,°C,0.000554438,RFU,21.3398132,°C,0,RFU,19.227211,°C,15.903,V
08/14/2025 14:52:46 +00:00,-0.014,0,21.83736,138.9,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:16 +00:00,0,pH,-406.856537,mV,30.43132,mV,19.227211,°C,0.0549450554,μS/cm,0.0617540739,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983625,g/cm³,4.014015E-05,ppt,20.5656738,°C,0.000554438,RFU,21.3398132,°C,0,RFU,19.227211,°C,15.903,V
08/14/2025 14:52:47 +00:00,-0.016,0,21.83736,139.2,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:17 +00:00,0,pH,-406.856537,mV,30.43132,mV,19.227211,°C,0.0549450554,μS/cm,0.0617540739,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983625,g/cm³,4.014015E-05,ppt,20.5656738,°C,0.000554438,RFU,21.3398132,°C,0,RFU,19.227211,°C,15.903,V
08/14/2025 14:52:48 +00:00,-0.021,0,21.8436184,138.8,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:18 +00:00,13.6266174,pH,-381.016724,mV,24.4470139,mV,19.221302,°C,0.0549450554,μS/cm,0.061761912,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983638,g/cm³,4.014524E-05,ppt,20.5407715,°C,0.00108023337,RFU,21.3175964,°C,0,RFU,19.221302,°C,15.894,V
08/14/2025 14:52:49 +00:00,-0.018,0,21.8436184,138.4,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:19 +00:00,13.6266174,pH,-381.016724,mV,24.4470139,mV,19.221302,°C,0.0549450554,μS/cm,0.061761912,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983638,g/cm³,4.014524E-05,ppt,20.5407715,°C,0.00108023337,RFU,21.3175964,°C,0,RFU,19.221302,°C,15.894,V
08/14/2025 14:52:50 +00:00,-0.019,0,21.8436184,138.5,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:20 +00:00,13.6266174,pH,-381.016724,mV,24.4470139,mV,19.221302,°C,0.0549450554,μS/cm,0.061761912,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983638,g/cm³,4.014524E-05,ppt,20.5407715,°C,0.00108023337,RFU,21.3175964,°C,0,RFU,19.221302,°C,15.894,V
08/14/2025 14:52:51 +00:00,-0.02,0,21.8436184,138.6,0,0,0,0,0,0,0.7867093,01/01/1970 00:01:21 +00:00,13.6266174,pH,-381.016724,mV,24.4470139,mV,19.221302,°C,0.0549450554,μS/cm,0.061761912,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983638,g/cm³,4.014524E-05,ppt,20.5407715,°C,0.00108023337,RFU,21.3175964,°C,0,RFU,19.221302,°C,15.894,V
08/14/2025 14:52:52 +00:00,-0.016,0,21.8436184,138.8,0,0,0,0,0,0,0.7860337,01/01/1970 00:01:22 +00:00,13.6266174,pH,-381.016724,mV,24.4470139,mV,19.221302,°C,0.0549450554,μS/cm,0.061761912,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983638,g/cm³,4.014524E-05,ppt,20.5407715,°C,0.00108023337,RFU,21.3175964,°C,0,RFU,19.221302,°C,15.894,V
08/14/2025 14:52:53 +00:00,-0.019,0,21.9109764,138.6,0,0,0,0,0,0,0.7860337,01/01/1970 00:01:23 +00:00,13.6266174,pH,-381.016724,mV,24.4470139,mV,19.221302,°C,0.0549450554,μS/cm,0.061761912,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983638,g/cm³,4.014524E-05,ppt,20.5407715,°C,0.00108023337,RFU,21.3175964,°C,0,RFU,19.221302,°C,15.894,V
08/14/2025 14:52:54 +00:00,-0.02,0,21.9109764,138.4,50.2016233,-66.3852067,0,0,0,0,0.7860337,01/01/1970 00:01:24 +00:00,13.2575607,pH,-359.5829,mV,21.79103,mV,19.11706,°C,0.0549450554,μS/cm,0.0619004481,μS/cm,0,PSU,1.82E+07,Ω-cm,0.998384356,g/cm³,4.023529E-05,ppt,20.5086365,°C,0.002015231,RFU,21.2947388,°C,0,RFU,19.11706,°C,15.912,V
08/14/2025 14:52:55 +00:00,-0.022,0,21.9109764,141.2,50.2016233,-66.3852067,0,0,0,0,0.7860337,01/01/1970 00:01:25 +00:00,13.2575607,pH,-359.5829,mV,21.79103,mV,19.11706,°C,0.0549450554,μS/cm,0.0619004481,μS/cm,0,PSU,1.82E+07,Ω-cm,0.998384356,g/cm³,4.023529E-05,ppt,20.5086365,°C,0.002015231,RFU,21.2947388,°C,0,RFU,19.11706,°C,15.912,V
08/14/2025 14:52:56 +00:00,-0.023,0,21.9109764,143.3,50.2016233,-66.3852067,0,0,0,0,0.7860337,01/01/1970 00:01:26 +00:00,13.2575607,pH,-359.5829,mV,21.79103,mV,19.11706,°C,0.0549450554,μS/cm,0.0619004481,μS/cm,0,PSU,1.82E+07,Ω-cm,0.998384356,g/cm³,4.023529E-05,ppt,20.5086365,°C,0.002015231,RFU,21.2947388,°C,0,RFU,19.11706,°C,15.912,V
08/14/2025 14:52:57 +00:00,-0.014,0,21.9109764,127.1,50.2016233,-66.3852067,0,0,0,0,0.7860337,01/01/1970 00:01:27 +00:00,13.2575607,pH,-359.5829,mV,21.79103,mV,19.11706,°C,0.0549450554,μS/cm,0.0619004481,μS/cm,0,PSU,1.82E+07,Ω-cm,0.998384356,g/cm³,4.023529E-05,ppt,20.5086365,°C,0.002015231,RFU,21.2947388,°C,0,RFU,19.11706,°C,15.912,V
08/14/2025 14:52:58 +00:00,-0.022,0,21.90507,127.8,50.2016233,-66.3852067,0,0,0,0,0.7860337,01/01/1970 00:01:28 +00:00,13.2575607,pH,-359.5829,mV,21.79103,mV,19.11706,°C,0.0549450554,μS/cm,0.0619004481,μS/cm,0,PSU,1.82E+07,Ω-cm,0.998384356,g/cm³,4.023529E-05,ppt,20.5086365,°C,0.002015231,RFU,21.2947388,°C,0,RFU,19.11706,°C,15.912,V
08/14/2025 14:52:59 +00:00,-0.019,0,21.90507,128.2,50.20171,-66.3853033,0,0,0,0,0.7860337,01/01/1970 00:01:29 +00:00,13.2575607,pH,-359.5829,mV,21.79103,mV,19.11706,°C,0.0549450554,μS/cm,0.0619004481,μS/cm,0,PSU,1.82E+07,Ω-cm,0.998384356,g/cm³,4.023529E-05,ppt,20.5086365,°C,0.002015231,RFU,21.2947388,°C,0,RFU,19.11706,°C,15.912,V
08/14/2025 14:53:00 +00:00,-0.025,0,21.90507,127.8,50.20171,-66.3853033,0,0,0,0,0.7860337,01/01/1970 00:01:30 +00:00,13.2575607,pH,-359.5829,mV,21.79103,mV,19.11706,°C,0.0549450554,μS/cm,0.0619004481,μS/cm,0,PSU,1.82E+07,Ω-cm,0.998384356,g/cm³,4.023529E-05,ppt,20.5086365,°C,0.002015231,RFU,21.2947388,°C,0,RFU,19.11706,°C,15.912,V
08/14/2025 14:53:01 +00:00,-0.024,0,21.90507,128.1,50.20171,-66.3853033,0,0,0,0,0.7860337,01/01/1970 00:01:31 +00:00,12.9379406,pH,-340.905182,mV,30.31211,mV,19.1891975,°C,0.0549450554,μS/cm,0.0618045144,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983701,g/cm³,4.01729376E-05,ppt,20.4798279,°C,0.00210213219,RFU,21.275177,°C,0,RFU,19.1891975,°C,15.876,V
08/14/2025 14:53:02 +00:00,-0.031,0,21.90507,127,50.20171,-66.3853033,0,0,0,0,0.7860337,01/01/1970 00:01:32 +00:00,12.9379406,pH,-340.905182,mV,30.31211,mV,19.1891975,°C,0.0549450554,μS/cm,0.0618045144,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983701,g/cm³,4.01729376E-05,ppt,20.4798279,°C,0.00210213219,RFU,21.275177,°C,0,RFU,19.1891975,°C,15.876,V
08/14/2025 14:53:03 +00:00,-0.031,0,21.9517536,125.3,50.20171,-66.3853033,0,0,0,0,0.7860337,01/01/1970 00:01:33 +00:00,12.9379406,pH,-340.905182,mV,30.31211,mV,19.1891975,°C,0.0549450554,μS/cm,0.0618045144,μS/cm,0,PSU,1.82E+07,Ω-cm,0.9983701,g/cm³,4.01729376E-05,ppt,20.4798279,°C,0.00210213219,RFU,21.275177,°C,0,RFU,19.1891975,°C,15.876,V
